"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S100A6",1.64016030237516e-225,1.67582598340717,1,1,2.7608818369881e-221
"GREM1",1.7480708952087e-222,-3.69833685760061,0.508,0.981,2.94252773790481e-218
"FLNA",1.31070214798879e-221,-3.00700373566197,0.718,0.999,2.20630492570954e-217
"ACTA2",8.0719501104781e-215,-3.29260862129477,0.673,0.992,1.35875136209678e-210
"COL1A2",4.93092331170618e-214,-2.45588929041511,0.967,0.999,8.30022321059502e-210
"LGALS4",1.76083573093623e-212,2.12701042171455,1,0.894,2.96401478588496e-208
"CAVIN1",1.14485510245714e-210,-2.74700990581531,0.527,0.983,1.92713459396611e-206
"COL3A1",3.33196863223961e-210,-2.21433474070007,0.958,0.999,5.60870279864893e-206
"MYL9",1.40272142544875e-208,-3.24108373775253,0.552,0.982,2.36120097545789e-204
"DCN",2.03872666577801e-208,-2.80735862585792,0.568,0.981,3.43178859650413e-204
"KRT8",2.94403120443538e-208,2.00126914348079,1,0.889,4.95568772642607e-204
"TAGLN",2.01083618880615e-207,-3.50707190996071,0.534,0.985,3.38484055661739e-203
"C1R",1.76574229963743e-206,-2.50181944098411,0.674,0.988,2.97227401297968e-202
"CLDN3",4.74514523115145e-205,2.11742504144215,1,0.856,7.98750296759724e-201
"FBN1",5.42115091591272e-205,-2.74608103904614,0.522,0.988,9.12542333675587e-201
"EPCAM",1.19299945113908e-202,2.11023544440732,1,0.907,2.00817597610241e-198
"ATP5MF",4.28859081582308e-202,1.74238743867766,1,0.96,7.218984920275e-198
"FCGBP",3.18382392402661e-201,2.34099627772223,0.999,0.817,5.35933081131399e-197
"ASS1",8.01509042943525e-199,2.10898596965999,1,0.845,1.34918017198684e-194
"PHGR1",1.88127997058739e-198,2.13532316672669,1,0.747,3.16675857448975e-194
"IGHG1",5.35709429938899e-196,-3.04268965939704,0.58,0.989,9.01759683416148e-192
"MUC2",7.58356259754495e-196,2.41088313503632,0.994,0.728,1.27654109204474e-191
"THBS1",1.69121902821196e-195,-3.21603909246907,0.506,0.978,2.8468289901892e-191
"IGFBP7",1.7820369435525e-195,-1.8266054573234,0.955,0.998,2.99970278708192e-191
"CLDN4",3.06583378268886e-195,1.99351990450678,1,0.852,5.16071800640015e-191
"TFF3",1.61488767935403e-193,2.08609264009646,1,0.906,2.71834043065663e-189
"REG4",2.60583928827693e-193,2.30066054075712,0.996,0.641,4.38640927395656e-189
"S100A14",2.53867121058118e-191,1.86523694138958,1,0.85,4.27334524877131e-187
"CLDN7",2.54338294749981e-191,1.93274547575431,0.998,0.713,4.28127651552643e-187
"CEACAM5",6.94576765531924e-191,2.25161586083613,0.996,0.709,1.16918106941989e-186
"KRT18",6.12803590701676e-190,1.98693255310634,1,0.71,1.03153228422813e-185
"TPM2",3.07708568476535e-189,-3.32119727905068,0.768,0.992,5.17965833316551e-185
"RAB25",1.20033167388946e-188,1.92037799689984,0.998,0.672,2.02051830665813e-184
"HSPD1",1.22208791139583e-188,1.7601186641764,0.999,0.885,2.0571405812526e-184
"LBH",1.79336215659888e-188,-3.08763287654894,0.403,0.923,3.01876651820289e-184
"MUC13",2.1594045166772e-188,2.06675943319925,0.995,0.683,3.63492562292273e-184
"AGR2",1.19213595830883e-187,2.54550640985048,0.982,0.478,2.00672245862125e-183
"TSPAN8",3.02758238444794e-187,2.05418998582916,0.998,0.652,5.09632942774122e-183
"TPD52",5.51148191645085e-187,2.02324661696275,0.995,0.629,9.27747750996171e-183
"IGFBP4",6.61736037937668e-186,-2.58112911607688,0.483,0.967,1.11390027266048e-181
"MMP2",1.49744529925531e-185,-2.9381462155883,0.544,0.984,2.52064967223647e-181
"MUC1",9.2594408805749e-185,1.87958209178914,0.995,0.763,1.55864168342717e-180
"IFITM2",8.44888312114679e-184,-2.29170217344043,0.616,0.977,1.42220049578264e-179
"CLU",3.14895113665084e-183,-3.47358532000534,0.355,0.892,5.30062944832435e-179
"DPEP1",7.43344503153744e-183,2.03113811552848,0.998,0.617,1.2512718021587e-178
"AEBP1",5.59114430230947e-181,-2.85083096431547,0.489,0.966,9.41157320407753e-177
"HSPE1",5.61572003470739e-181,1.65005982562445,1,0.926,9.45294153442295e-177
"ELF3",2.58839680069189e-180,1.76625057398957,1,0.713,4.35704833460466e-176
"GPX2",7.96905216423529e-180,2.12256114329208,0.999,0.717,1.34143055080573e-175
"LSR",7.0108310291798e-179,1.80140021112785,0.995,0.706,1.18013318714184e-174
"CCN2",1.00479532156526e-178,-2.52439868016787,0.757,0.99,1.69137196479081e-174
"PABPC1",4.11188235048957e-178,1.21644349090373,1,1,6.92153156057909e-174
"COL6A2",1.93313725836196e-176,-2.20180442512842,0.592,0.973,3.25404994700068e-172
"CALD1",3.2050533069529e-176,-2.81679662862698,0.459,0.931,5.39506623159381e-172
"HSP90AA1",9.2255709235803e-176,1.28849357079565,1,0.996,1.55294035356627e-171
"SPINT2",5.03710429208281e-175,1.77623444938296,0.996,0.755,8.47895765486299e-171
"MAL2",3.2418164653277e-174,2.12990394852378,0.983,0.596,5.45694965608612e-170
"MXRA7",1.04728589690045e-173,-2.33351068233842,0.616,0.967,1.76289635025253e-169
"VIL1",1.08631646274505e-172,2.10169430506817,0.979,0.438,1.82859650173875e-168
"S100A16",1.31643460990185e-172,1.6128331183896,0.998,0.808,2.21595437884779e-168
"KRT20",1.65400078022899e-172,2.05938960914746,0.982,0.479,2.78417951335946e-168
"FN1",3.41197093589348e-172,-2.14358159741467,0.59,0.983,5.74337067638949e-168
"BGN",6.73765006707855e-172,-2.36841873278838,0.531,0.975,1.13414863579133e-167
"PPP1R1B",1.19879305220102e-171,2.36397500736376,0.943,0.288,2.01792834476997e-167
"FSTL1",1.94526364753873e-170,-2.42299032962422,0.599,0.961,3.27446229790194e-166
"AQP3",6.57585325608113e-170,1.95192024108915,0.983,0.543,1.10691337859614e-165
"LAD1",1.47456185506041e-168,2.11666498629728,0.969,0.429,2.48212997062319e-164
"PDIA4",1.78769246758505e-167,1.46386253199416,1,0.88,3.00922273068591e-163
"C1S",4.12239055271378e-167,-2.82359121423309,0.398,0.886,6.9392200173831e-163
"VIM",7.973343036346e-167,-1.8745250026598,0.726,0.994,1.34215283330812e-162
"MCM7",2.03139773285679e-166,1.68986738785613,0.998,0.773,3.41945180371784e-162
"PKP3",4.22311186979507e-166,2.19838120284013,0.956,0.351,7.10876421042603e-162
"COL1A1",4.37626780027292e-166,-2.38873613905885,0.885,0.993,7.3665715881994e-162
"SLIRP",4.81710126309137e-166,1.72736441875343,0.993,0.788,8.1086265561617e-162
"ANGPTL2",7.7146798648126e-166,-2.96566902262188,0.339,0.863,1.29861206164391e-161
"COX5A",9.86571009584277e-166,1.41305016445637,1,0.929,1.66069498043321e-161
"HDGF",1.04888575763753e-165,1.39715942467583,1,0.942,1.76558939583125e-161
"CHRDL2",9.09700417421488e-165,-4.84075446058673,0.059,0.716,1.53129871264559e-160
"TSTA3",1.02035660133586e-164,1.77137421014487,0.994,0.654,1.71756626702865e-160
"CCT3",1.3239434331179e-164,1.30451244865918,1,0.938,2.22859398096736e-160
"CYCS",1.58646447951757e-164,1.51197717339636,0.998,0.869,2.67049565837192e-160
"LGALS3",4.95483757296576e-164,1.71582787385159,0.995,0.833,8.34047808657326e-160
"COX6B1",6.53152052257897e-164,1.28356782567343,1,0.946,1.09945084956572e-159
"SPARC",6.95498841205308e-164,-2.20231248892351,0.921,0.994,1.1707331994009e-159
"CYC1",1.78692216692826e-163,1.65129004471194,0.996,0.825,3.00792608359034e-159
"GDF15",3.92937145888715e-163,1.86946189080458,0.995,0.719,6.61431097674474e-159
"RAB11FIP1",4.87089823479496e-163,1.93036091451506,0.977,0.514,8.19918299863036e-159
"FXYD3",1.97769613534559e-162,1.71651204739202,0.994,0.553,3.32905590462723e-158
