"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COL3A1",8.66791615642514e-193,-0.779066286843651,0.994,0.999,1.26542907967651e-188
"COL1A2",6.47314901711973e-169,-0.839247906601,0.994,0.999,9.45015025009309e-165
"COL1A1",3.03889502713135e-148,-0.79225897018412,0.993,1,4.43648285010906e-144
"COL6A3",1.93547116983417e-128,-0.87367247715719,0.898,0.992,2.8255943608409e-124
"ATP1B1",1.04345996556367e-123,1.52441245658784,0.96,0.907,1.5233472037264e-119
"TCN1",3.52626690233428e-123,2.14000922875195,0.622,0.255,5.14799705071782e-119
"CEACAM5",6.26298921441901e-122,1.37868309506165,0.885,0.723,9.14333795413032e-118
"TFF1",9.44375307001921e-118,1.7015974864379,0.768,0.478,1.3786935106921e-113
"IGFBP7",2.12505252587151e-110,-0.753190497693392,0.926,0.995,3.10236418251981e-106
"TFF3",3.61159970310324e-110,1.48038959628689,0.907,0.831,5.27257440656042e-106
"ACTA2",5.5598532278123e-107,-0.953797493448774,0.721,0.971,8.11682972728318e-103
"GPX2",2.69472857045608e-105,1.77401122282373,0.631,0.287,3.93403424000883e-101
"DCN",1.22054830532223e-102,-1.21477254948162,0.592,0.88,1.78187847093992e-98
"MYL9",4.18096309905235e-102,-0.778220949970889,0.891,0.996,6.10378802830653e-98
"TPM2",7.74877994376575e-101,-0.968525142261941,0.753,0.975,1.13124438399036e-96
"AGR2",1.64400551038658e-100,1.85197946160697,0.601,0.267,2.40008364461337e-96
"S100A6",1.79518062408821e-100,0.499849936837539,1,1,2.62078419310638e-96
"LYZ",1.88183415308466e-100,1.289357046283,0.94,0.882,2.74728968008829e-96
"TXN",7.9582789814881e-100,0.814481561477318,0.953,0.891,1.16182914850745e-95
"C1R",6.2637227117122e-98,-0.919925925131862,0.702,0.951,9.14440878682864e-94
"TSPAN8",3.05368958449096e-95,1.20688178431808,0.902,0.801,4.45808142439836e-91
"EPCAM",7.76241891987001e-92,0.957731118567173,0.905,0.798,1.13323553811182e-87
"S100A10",2.86089572642359e-89,0.597046495922377,1,0.998,4.17662167100579e-85
"ANXA2",4.06155970212321e-88,0.570395556258229,0.996,0.992,5.92947100912968e-84
"PPDPF",3.70085187549461e-85,0.535594875635031,0.995,0.993,5.40287365303459e-81
