"","C2","C4","C1","C3"
"S100A6",-0.0904211991643889,0.85460208109567,-1.37443440340356,0.610253521472277
"GREM1",0.424704329699012,-1.09081364391253,1.17207224254468,-0.505962928331162
"FLNA",0.356583114298974,-1.07758610143421,1.2124797863849,-0.491476799249662
"ACTA2",0.367194126752071,-1.0463252921816,1.21699429386201,-0.537863128432478
"COL1A2",0.438305634021345,-1.0789582938668,1.16841808675027,-0.527765426904814
"LGALS4",-0.116314939013569,0.956956915572963,-1.34697217139082,0.506330194831433
"CAVIN1",0.367551522313897,-1.05329022665036,1.21475431922955,-0.529015614893085
"COL3A1",0.401823753267837,-1.07430114569403,1.19014202739528,-0.517664634969086
"MYL9",0.296022826479368,-1.00156073894037,1.26390964225447,-0.558371729793474
"DCN",0.430384931030235,-1.08997541236239,1.16919759057211,-0.509607109239952
"KRT8",-0.140401612779322,0.933069053072614,-1.34383271589191,0.551165275598623
"TAGLN",0.241944270321296,-0.965427712531998,1.29654067177801,-0.573057229567307
"C1R",0.409004512304746,-1.08029583762343,1.18427991556332,-0.512988590244643
"CLDN3",-0.194164942638035,0.972631403146165,-1.31478255730159,0.536316096793461
"FBN1",0.455570426768017,-1.06095864216529,1.163964942047,-0.558576726649723
"EPCAM",-0.175268542275146,0.977089569815479,-1.32099703974031,0.519176012199981
"ATP5MF",-0.2319254349097,0.999325505044113,-1.29285010347977,0.525450033345354
"FCGBP",-0.121597407179581,0.962064249004592,-1.34393634806246,0.503469506237448
"ASS1",-0.213917149321752,1.01089682190601,-1.29702719484494,0.500047522260683
"PHGR1",-0.211460756816276,1.0369550093695,-1.29004077049472,0.464546517941498
"IGHG1",0.53362960476863,-1.14403631955356,1.08626742830136,-0.475860713516439
"MUC2",-0.194663490802569,0.991824512166291,-1.3098042525323,0.512643231168578
"THBS1",0.292870934346271,-0.987379427492231,1.2687035014032,-0.574195008257236
"IGFBP7",0.387410852054149,-1.02842961082539,1.21123740823054,-0.570218649459299
"CLDN4",-0.0704810535589107,0.867683706289228,-1.37951706488944,0.582314412159126
"TFF3",-0.230761138976862,0.947634428107245,-1.30495252691204,0.588079237781652
"REG4",-0.228751339493894,1.066606047582,-1.27304213204773,0.435187423959631
"S100A14",-0.0271584359739468,0.760376587819021,-1.40398206452273,0.670763912677659
"CLDN7",-0.114045976440825,0.916762375897077,-1.35644025181035,0.553723852354103
"CEACAM5",-0.26066877248542,1.04534302741611,-1.26739509780444,0.482720842873743
"KRT18",-0.16353661949796,1.00538042426267,-1.31761457012929,0.475770765364582
"TPM2",0.4264264130894,-1.09259467509965,1.17049302560463,-0.504324763594379
"RAB25",-0.0629112071442729,0.839439445899272,-1.38573230029657,0.609204061541573
"HSPD1",-0.264536961749437,1.06412662753467,-1.25944095183482,0.459851286049585
"LBH",0.272132946630065,-1.00301718733956,1.27450875559144,-0.543624514881943
"MUC13",-0.211360931202599,0.971782089237691,-1.30806993231531,0.547648774280215
"AGR2",-0.275478312286272,1.08908858170033,-1.24555924808647,0.431948978672409
"TSPAN8",-0.218491620922794,0.949701721677665,-1.30979622426809,0.578586123513223
"TPD52",-0.240964733512595,1.01277167072504,-1.28545518085388,0.513648243641441
"IGFBP4",0.496046822780995,-1.11986829156949,1.11976466509131,-0.495943196302814
